t_s,wall_time,frame,tier,theta_deg,x_mm,y_mm,n_c,n_r,mad_h,mad_v,fps
1.7738,1789123614.075,21134,junction,2.204,-11.333,0.872,43,32,0.188,0.188,115.1
1.7856,1789123614.086,21135,junction,2.206,-11.334,0.876,44,32,0.313,0.188,115.9
1.7898,1789123614.091,21136,junction,2.196,-11.334,0.872,44,32,0.188,0.188,115.7
1.7983,1789123614.099,21137,junction,2.192,-11.334,0.872,44,32,0.313,0.313,116.4
1.8072,1789123614.108,21138,junction,2.191,-11.333,0.875,44,32,0.188,0.313,117.1
1.8153,1789123614.116,21139,junction,2.203,-11.331,0.872,44,32,0.188,0.313,116.6
1.8233,1789123614.124,21140,junction,2.179,-11.337,0.872,44,32,0.313,0.313,117.2
1.8319,1789123614.133,21141,junction,2.216,-11.337,0.877,43,32,0.188,0.188,117.9
1.8413,1789123614.142,21142,junction,2.222,-11.334,0.874,44,32,0.188,0.188,117.4
1.8489,1789123614.150,21143,junction,2.221,-11.336,0.875,43,32,0.188,0.188,118.1
1.8573,1789123614.158,21144,junction,2.192,-11.334,0.875,43,32,0.313,0.188,118.7
1.8659,1789123614.167,21145,junction,2.222,-11.34,0.875,43,32,0.188,0.188,118.0
1.8737,1789123614.175,21146,junction,2.221,-11.34,0.871,44,32,0.188,0.188,118.4
1.8821,1789123614.183,21147,junction,2.216,-11.334,0.872,44,32,0.188,0.188,118.8
1.8912,1789123614.192,21148,junction,2.202,-11.337,0.872,43,32,0.188,0.188,118.2
1.8987,1789123614.200,21149,junction,2.223,-11.334,0.872,43,32,0.188,0.188,118.7
1.9194,1789123614.220,21150,junction,2.218,-11.377,0.887,106,71,0.188,0.188,113.6
1.9277,1789123614.229,21151,junction,2.218,-11.334,0.875,43,32,0.188,0.188,104.1
1.9354,1789123614.236,21152,junction,2.198,-11.337,0.873,43,32,0.313,0.188,105.6
1.9460,1789123614.247,21153,junction,2.221,-11.333,0.872,43,32,0.188,0.188,107.2
1.9525,1789123614.253,21154,junction,2.198,-11.334,0.872,44,32,0.188,0.188,107.8
1.9611,1789123614.262,21155,junction,2.192,-11.337,0.872,44,32,0.188,0.313,109.1
1.9694,1789123614.270,21156,junction,2.196,-11.333,0.875,44,32,0.313,0.188,110.3
