frame,t_s,theta_m1,theta,heading_raw,heading,rate_dps,tier,x_to_next_mm,y_offset_mm,travel_mm,otsu,sharpness,jump_rejected,fit_residual_px
110,3.6300,5.7528,5.7185,2.6666,3.6080,-1.30,3,,-1.919,193.57,50,12.7,0,0.098
111,3.6630,5.7802,6.1894,3.1374,3.3726,-2.34,1,-5.339,-0.769,163.81,54,13.1,0,0.119
112,3.6960,6.3878,6.2397,3.1877,3.2469,-2.60,3,,-0.064,163.81,49,13.5,0,0.064
113,3.7290,6.6175,5.7708,2.7188,2.9621,-3.67,3,,0.664,163.81,37,10.6,0,0.140
114,3.7620,7.5448,6.6792,3.6273,3.1948,-1.77,2,39.554,1.329,163.81,36,13.6,1,0.081
115,3.7950,4.5817,6.0459,2.9939,3.0723,-2.11,3,,1.348,163.81,46,11.3,0,0.102
116,3.8280,5.6393,6.4209,3.3690,3.1675,-1.22,1,67.380,1.474,171.10,56,11.7,0,0.088
117,3.8610,6.1494,6.2147,3.1627,3.1431,-1.14,1,1.226,1.260,157.25,57,13.8,0,0.103
118,3.8940,7.2640,6.7058,3.6539,3.3523,0.19,3,,1.566,157.25,50,13.2,0,0.087
119,3.9270,7.8243,5.7514,2.6995,3.0620,-1.41,3,,1.440,157.25,40,13.2,0,0.112
120,3.9600,7.9731,6.6392,3.5872,3.2729,-0.02,2,30.188,1.114,128.29,39,12.2,0,0.117
121,3.9930,5.9841,5.4739,2.4220,2.8896,-2.08,3,,-0.142,128.29,43,16.2,0,0.076
122,4.0260,4.9993,5.7237,2.6718,2.7538,-2.44,3,,-1.287,128.29,51,13.5,0,0.093
123,4.0590,5.5605,6.3948,3.3428,2.9745,-0.82,3,,-2.349,128.29,56,13.7,0,0.080
124,4.0920,5.4872,5.8567,2.8048,2.8832,-1.17,1,-1.618,-3.465,128.29,55,14.3,1,0.094
125,4.1250,5.7015,5.6731,2.6212,2.7442,-1.71,1,9.331,-3.783,149.14,50,13.3,0,0.274
126,4.1580,5.2495,5.2744,2.2225,2.4784,-2.84,3,,-3.795,149.14,48,13.7,0,0.099
127,4.1910,5.5969,4.6988,1.6469,2.0528,-4.62,3,,-4.441,149.14,40,13.2,0,0.268
128,4.2240,6.0283,4.6569,1.6050,1.7673,-5.34,2,35.540,-5.009,122.94,40,13.4,0,0.270
129,4.2570,4.3993,7.4880,4.4361,2.8713,1.56,2,45.798,-5.277,112.68,40,12.3,0,0.267
130,4.2900,3.9364,3.2481,0.1962,1.6958,-5.05,3,,-5.274,112.68,43,11.1,0,0.156
